Date,Day_of_the_week,App ,Minutes,Category
9/3/2023,Sunday,TIKTOK,64,Social Media
9/3/2023,Sunday,INSTAGRAM,47,Social Media
9/3/2023,Sunday,SNAPCHAT,34,Social Media
9/3/2023,Sunday,MESSAGES,13,Social Media
9/3/2023,Sunday,YOUTUBE,12,Entertainment
9/3/2023,Sunday,SPOTIFY,8,Entertainment
9/3/2023,Sunday,OFFER UP,7,Other
9/4/2023,Monday,TIKTOK,78,Social Media
9/4/2023,Monday,INSTAGRAM,42,Social Media
9/4/2023,Monday,SNAPCHAT,38,Social Media
9/4/2023,Monday,CANVAS STUDENT,87,Education
9/4/2023,Monday,SPOTIFY,25,Entertainment
9/4/2023,Monday,MESSAGES,17,Social Media
9/4/2023,Monday,YOUTUBE,16,Entertainment
9/5/2023,Tuesday,TIKTOK,98,Social Media
9/5/2023,Tuesday,CHROME,85,Education
9/5/2023,Tuesday,INSTAGRAM,72,Social Media
9/5/2023,Tuesday,YOUTUBE,52,Entertainment
