Date,Day_of_the_week,App,Minutes,Category
9/3/2023,Sunday,TIKTOK,64,Social Media
9/3/2023,Sunday,INSTAGRAM,47,Social Media
9/3/2023,Sunday,SNAPCHAT,34,Social Media
9/3/2023,Sunday,MESSAGES,13,Social Media
9/3/2023,Sunday,YOUTUBE,12,Entertainment
9/3/2023,Sunday,SPOTIFY,8,Entertainment
9/3/2023,Sunday,OFFER UP,7,Other
9/4/2023,Monday,TIKTOK,78,Social Media
9/4/2023,Monday,INSTAGRAM,42,Social Media
9/4/2023,Monday,SNAPCHAT,38,Social Media
9/4/2023,Monday,CANVAS STUDENT,87,Education
9/4/2023,Monday,SPOTIFY,25,Entertainment
9/4/2023,Monday,MESSAGES,17,Social Media
9/4/2023,Monday,YOUTUBE,16,Entertainment
9/5/2023,Tuesday,TIKTOK,98,Social Media
9/5/2023,Tuesday,CHROME,85,Education
9/5/2023,Tuesday,INSTAGRAM,72,Social Media
9/5/2023,Tuesday,YOUTUBE,52,Entertainment
9/6/2023,Wednesday,TIKTOK,101,Social Media
9/6/2023,Wednesday,INSTAGRAM,92,Social Media
9/6/2023,Wednesday,SNAPCHAT,82,Social Media
9/6/2023,Wednesday,PHOTOS,55,Other
9/6/2023,Wednesday,CAMERA,40,Other
9/6/2023,Wednesday,YOUTUBE ,38,Entertainment
9/6/2023,Wednesday,MESSAGES ,23,Social Media
9/7/2023,Thursday,TIKTOK,120,Social Media
9/7/2023,Thursday,INSTAGRAM,56,Social Media
9/7/2023,Thursday,GOOGLE DRIVE,43,Education
9/7/2023,Thursday,SNAPCHAT,36,Social Media
9/7/2023,Thursday,YOUTUBE,23,Entertainment
9/7/2023,Thursday,CANVAS STUDENT,21,Education
9/7/2023,Thursday,SAFARI,18,Other
9/7/2023,Thursday,CHROME,13,Other
9/7/2023,Thursday,PHOTOS,12,Other
9/7/2023,Thursday,AMAZON,9,Other
9/7/2023,Thursday,SPOTIFY,7,Entertainment
9/7/2023,Thursday,MESSAGES ,4,Social Media
9/8/2023,Friday,TIKTOK,157,Social Media
9/8/2023,Friday,INSTAGRAM,111,Social Media
9/8/2023,Friday,SNAPCHAT,83,Social Media
9/8/2023,Friday,YOUTUBE,26,Entertainment
9/8/2023,Friday,CANVA,18,Education
9/8/2023,Friday,SPOTIFY,11,Entertainment
9/8/2023,Friday,CHROME,9,Other
9/8/2023,Friday,AMAZON,8,Other
9/8/2023,Friday,MESSAGES,6,Social Media
9/8/2023,Friday,CANVAS STUDENT,3,Education
9/9/2023,Saturday,TIKTOK,123,Social Media
9/9/2023,Saturday,SNAPCHAT,74,Social Media
9/9/2023,Saturday,INSTAGRAM,64,Social Media
9/9/2023,Saturday,MESSAGES,13,Social Media
9/9/2023,Saturday,CHROME,7,Other
9/9/2023,Saturday,PHOTOS,6,Other
9/9/2023,Saturday,YOUTUBE,4,Entertainment
9/9/2023,Saturday,AMAZON,3,Other
9/9/2023,Saturday,SAFARI,3,Other
9/9/2023,Saturday,SPOTIFY,2,Entertainment
